user_id,age,gender,channel,vip_grade,total_spent,order_count,recency,churn
u_00103,32.0,M,MOBILE,0.0,1147.0,0,5,1
u_00104,29.0,M,MOBILE,4.0,672021.0,17,22,0
u_00105,46.0,M,APP,3.0,632563.0,10,0,0
u_00106,43.0,F,WEB,0.0,399224.0,4,115,0
u_00107,47.0,M,MOBILE,3.0,811747.0,8,24,0
u_00108,37.0,F,MOBILE,2.0,971778.0,12,0,0
u_00109,47.0,F,MOBILE,0.0,411027.0,4,79,0
u_00110,47.0,F,MOBILE,0.0,2118.0,0,12,0
u_00111,45.0,M,APP,2.0,445221.0,5,18,0
u_00112,30.0,M,MOBILE,4.0,1898533.0,26,0,0
u_00113,20.0,F,WEB,1.0,1111410.0,14,3,0
u_00114,36.0,M,MOBILE,1.0,343687.0,4,110,0
u_00115,28.0,F,WEB,2.0,820436.0,9,25,0
u_00116,27.0,M,APP,1.0,750568.0,10,5,1
u_00117,22.0,F,WEB,0.0,46362.0,1,96,1
u_00118,26.0,M,APP,0.0,237227.0,3,26,1
u_00119,20.0,M,WEB,3.0,388526.0,8,186,1
u_00120,44.0,F,WEB,0.0,507739.0,7,24,0
u_00121,30.0,F,APP,1.0,580774.0,6,41,0
u_00122,40.0,M,WEB,0.0,4873.0,0,10,0
u_00123,33.0,F,WEB,0.0,1449172.0,18,90,0
u_00124,42.0,F,REFERRAL,1.0,554547.0,8,15,0
u_00125,36.0,M,APP,0.0,1004480.0,14,64,0
u_00126,30.0,F,,2.0,606979.0,9,0,0
u_00127,37.0,F,WEB,0.0,235213.0,3,0,0
u_00128,25.0,F,REFERRAL,2.0,747649.0,9,0,0
u_00129,36.0,F,WEB,1.0,189962.0,7,20,0
u_00130,50.0,M,REFERRAL,2.0,637480.0,12,8,0
u_00131,20.0,F,WEB,2.0,343857.0,7,0,0
u_00132,39.0,F,MOBILE,4.0,1693173.0,21,3,0
u_00133,20.0,F,APP,0.0,30000.0,2,0,1
u_00134,35.0,M,WEB,0.0,795236.0,7,4,1
u_00135,45.0,M,APP,1.0,700984.0,11,22,0
u_00136,40.0,F,MOBILE,1.0,412713.0,4,0,0
u_00137,20.0,M,APP,3.0,527817.0,6,13,0
u_00138,59.0,F,MOBILE,1.0,520626.0,6,0,0
u_00139,37.0,F,MOBILE,0.0,97.0,0,0,0
u_00140,35.0,M,MOBILE,0.0,349776.0,8,56,0
u_00141,35.0,F,APP,0.0,260745.0,4,0,0
u_00142,30.0,F,WEB,1.0,89731.0,1,21,0
u_00143,28.0,F,APP,2.0,970590.0,13,10,0
u_00144,29.0,M,WEB,0.0,578976.0,9,31,1
u_00145,22.0,F,WEB,1.0,877035.0,14,13,0
u_00146,45.0,M,APP,0.0,496321.0,5,42,0
u_00147,45.0,F,MOBILE,0.0,352247.0,3,4,0
u_00148,35.0,F,WEB,4.0,1246122.0,13,0,0
u_00149,23.0,F,MOBILE,0.0,129703.0,2,0,0
u_00150,40.0,M,MOBILE,1.0,422019.0,9,27,0
u_00151,52.0,F,MOBILE,2.0,857160.0,12,121,0
u_00152,20.0,F,APP,1.0,809761.0,15,190,1
u_00153,39.0,F,APP,3.0,996975.0,10,167,0
u_00154,35.0,M,REFERRAL,1.0,81414.0,1,0,0
u_00155,44.0,M,MOBILE,1.0,202203.0,5,0,0
u_00156,49.0,F,WEB,1.0,1208766.0,18,0,0
u_00157,34.0,F,WEB,0.0,886197.0,12,0,0
u_00158,20.0,F,APP,0.0,566115.0,6,23,0
u_00159,44.0,M,MOBILE,0.0,181500.0,3,4,1
u_00160,53.0,M,WEB,1.0,1302321.0,16,58,0
u_00161,22.0,F,AD,2.0,643080.0,6,0,1
u_00162,20.0,F,MOBILE,0.0,145484.0,2,34,0
u_00163,37.0,F,MOBILE,0.0,261330.0,3,3,0
u_00164,46.0,M,MOBILE,0.0,103173.0,2,48,0
u_00165,37.0,F,MOBILE,0.0,301341.0,5,129,1
u_00166,30.0,M,WEB,0.0,273640.0,4,5,0
u_00167,28.0,M,WEB,0.0,425060.0,9,123,0
u_00168,65.0,M,MOBILE,1.0,1057332.0,13,136,0
u_00169,26.0,M,REFERRAL,0.0,49223.0,1,14,0
u_00170,34.0,M,MOBILE,0.0,523161.0,6,141,1
u_00171,32.0,F,APP,2.0,349463.0,5,0,0
u_00172,31.0,M,MOBILE,0.0,392542.0,4,72,1
u_00173,35.0,F,WEB,1.0,370642.0,6,45,0
u_00174,47.0,F,WEB,0.0,478212.0,7,54,0
u_00175,37.0,F,MOBILE,2.0,356252.0,5,3,0
u_00176,20.0,M,APP,1.0,520356.0,5,151,1
u_00177,28.0,M,MOBILE,0.0,1770.0,0,40,0
u_00178,25.0,M,REFERRAL,2.0,777851.0,8,4,0
u_00179,38.0,M,MOBILE,2.0,1045494.0,13,99,0
u_00180,38.0,F,MOBILE,0.0,221532.0,2,0,0
u_00181,33.0,F,APP,0.0,308503.0,7,180,1
u_00182,48.0,F,AD,4.0,609155.0,10,9,0
u_00183,25.0,F,REFERRAL,0.0,709324.0,8,83,0
u_00184,29.0,M,APP,2.0,774931.0,6,117,0
u_00185,38.0,M,APP,0.0,1008938.0,11,16,0
u_00186,20.0,M,REFERRAL,0.0,278629.0,3,34,1
u_00187,55.0,F,WEB,2.0,739005.0,12,11,0
u_00188,64.0,M,WEB,0.0,264453.0,5,2,0
u_00189,65.0,F,WEB,2.0,243736.0,3,5,0
u_00190,40.0,F,APP,1.0,651819.0,6,33,0
u_00191,28.0,F,WEB,0.0,478231.0,7,9,0
u_00192,29.0,M,APP,1.0,171148.0,3,25,0
u_00193,41.0,M,MOBILE,4.0,1052505.0,16,31,0
u_00194,55.0,F,APP,1.0,461085.0,7,0,0
u_00195,40.0,F,APP,2.0,188496.0,3,0,1
u_00196,35.0,F,REFERRAL,0.0,308219.0,6,143,1
u_00197,28.0,M,WEB,1.0,1135985.0,16,0,0
u_00198,40.0,M,MOBILE,1.0,414348.0,5,5,0
u_00199,30.0,M,WEB,1.0,619775.0,6,8,1
u_00200,45.0,M,WEB,1.0,803331.0,6,18,0
u_00201,25.0,M,APP,3.0,1866001.0,18,20,0
u_00202,41.0,F,MOBILE,0.0,314876.0,5,0,0
u_00203,49.0,M,WEB,1.0,393618.0,9,99,1
u_00204,29.0,M,REFERRAL,0.0,235613.0,5,60,1
u_00205,38.0,F,MOBILE,2.0,627118.0,12,98,0
u_00206,47.0,M,APP,2.0,455030.0,9,2,0
u_00207,25.0,M,REFERRAL,0.0,851804.0,14,37,0
u_00208,33.0,M,MOBILE,3.0,544553.0,15,0,0
u_00209,24.0,F,MOBILE,1.0,175500.0,3,73,0
u_00210,37.0,F,APP,0.0,470208.0,6,72,1
u_00211,25.0,M,MOBILE,0.0,448987.0,12,0,0
u_00212,47.0,M,REFERRAL,0.0,4796.0,0,45,1
u_00213,38.0,M,APP,1.0,715655.0,7,25,0
u_00214,35.0,M,WEB,0.0,575439.0,5,48,0
u_00215,26.0,M,WEB,0.0,61679.0,1,13,0
u_00216,20.0,M,WEB,0.0,200281.0,3,21,1
u_00217,40.0,M,WEB,2.0,354501.0,11,0,0
u_00218,36.0,M,WEB,1.0,232841.0,7,92,0
u_00219,42.0,M,AD,1.0,139423.0,3,11,0
u_00220,55.0,F,WEB,0.0,190223.0,2,61,0
u_00221,45.0,F,MOBILE,1.0,745690.0,7,0,0
u_00222,29.0,M,WEB,0.0,346605.0,5,53,0
u_00223,37.0,M,WEB,0.0,104200.0,1,80,1
u_00224,44.0,F,MOBILE,4.0,1869923.0,23,0,0
u_00225,33.0,F,APP,2.0,599378.0,9,0,0
u_00226,44.0,M,APP,0.0,120000.0,8,94,0
u_00227,40.0,M,MOBILE,4.0,741746.0,13,0,0
u_00228,20.0,F,MOBILE,1.0,514006.0,8,19,0
u_00229,27.0,F,WEB,1.0,247248.0,3,0,0
u_00230,20.0,F,REFERRAL,2.0,324332.0,8,66,1
u_00231,38.0,M,REFERRAL,1.0,,5,49,0
u_00232,45.0,M,WEB,2.0,223208.0,9,14,0
u_00233,34.0,F,REFERRAL,0.0,591809.0,9,11,0
u_00234,29.0,F,MOBILE,0.0,415681.0,6,27,0
u_00235,,M,WEB,0.0,207407.0,2,0,0
u_00236,39.0,F,MOBILE,1.0,505895.0,5,79,0
u_00237,29.0,F,WEB,0.0,470937.0,6,84,0
u_00238,43.0,M,WEB,3.0,1264406.0,13,72,0
u_00239,24.0,F,WEB,1.0,241021.0,5,53,0
u_00240,50.0,M,WEB,0.0,623747.0,8,0,0
u_00241,47.0,F,APP,0.0,952679.0,10,56,0
u_00242,43.0,M,MOBILE,0.0,411263.0,6,62,0
u_00243,33.0,M,WEB,3.0,1511812.0,26,0,0
u_00244,20.0,F,WEB,,49555.0,1,103,0
u_00245,60.0,F,AD,3.0,878351.0,13,21,0
u_00246,36.0,F,AD,0.0,4469.0,0,80,0
u_00247,44.0,F,MOBILE,0.0,1880.0,0,9,0
u_00248,26.0,F,WEB,2.0,1166242.0,13,0,0
u_00249,30.0,M,WEB,0.0,136277.0,3,0,0
u_00250,51.0,M,WEB,3.0,986792.0,10,0,0
u_00251,44.0,M,WEB,0.0,710045.0,7,23,1
u_00252,21.0,M,MOBILE,5.0,3273259.0,33,0,0
u_00253,38.0,M,MOBILE,1.0,972825.0,7,0,1
u_00254,26.0,M,AD,3.0,1366802.0,15,0,0
u_00255,31.0,M,MOBILE,1.0,471219.0,7,44,1
u_00256,55.0,M,MOBILE,0.0,229265.0,9,59,0
u_00257,39.0,M,MOBILE,0.0,244348.0,4,20,0
u_00258,26.0,F,REFERRAL,2.0,306462.0,6,109,0
u_00259,35.0,F,MOBILE,3.0,680064.0,15,10,0
u_00260,42.0,M,REFERRAL,2.0,,12,0,0
u_00261,29.0,M,WEB,2.0,1928379.0,24,43,0
u_00262,38.0,F,WEB,4.0,705260.0,11,0,0
u_00263,38.0,F,APP,1.0,260120.0,3,16,1
u_00264,25.0,F,WEB,1.0,1371520.0,24,32,0
u_00265,29.0,F,APP,0.0,612038.0,10,0,0
u_00266,31.0,M,APP,1.0,825113.0,9,95,0
u_00267,20.0,M,APP,0.0,794797.0,14,53,1
u_00268,58.0,M,MOBILE,1.0,1152735.0,10,27,0
u_00269,44.0,F,WEB,3.0,1530096.0,14,9,0
u_00270,47.0,F,REFERRAL,1.0,576822.0,8,34,0
u_00271,28.0,F,MOBILE,2.0,526234.0,7,21,0
u_00272,38.0,F,AD,0.0,3380.0,0,47,0
u_00273,36.0,M,MOBILE,1.0,403395.0,4,41,0
u_00274,30.0,F,AD,1.0,103410.0,2,0,0
u_00275,40.0,M,REFERRAL,0.0,137086.0,2,0,0
u_00276,42.0,M,APP,0.0,75000.0,5,80,0
u_00277,65.0,M,MOBILE,2.0,355553.0,5,51,0
u_00278,28.0,F,MOBILE,3.0,1966530.0,24,0,0
u_00279,24.0,M,APP,2.0,1142896.0,14,0,0
u_00280,38.0,M,WEB,0.0,46671.0,1,25,0
u_00281,41.0,M,AD,0.0,150419.0,2,100,0
u_00282,20.0,M,WEB,0.0,303829.0,5,85,0
u_00283,34.0,F,WEB,0.0,4728.0,0,157,0
u_00284,40.0,F,WEB,0.0,202287.0,7,111,0
u_00285,47.0,M,REFERRAL,0.0,258676.0,3,34,0
u_00286,32.0,M,WEB,1.0,130470.0,2,196,1
u_00287,51.0,F,WEB,0.0,218008.0,3,67,1
u_00288,21.0,F,AD,1.0,435446.0,9,0,0
u_00289,20.0,F,APP,0.0,453276.0,4,7,0
u_00290,32.0,M,APP,0.0,345583.0,5,1,0
u_00291,30.0,M,MOBILE,1.0,172541.0,2,78,1
u_00292,23.0,F,AD,0.0,344761.0,4,100,1
u_00293,29.0,F,APP,1.0,665541.0,10,45,0
u_00294,47.0,F,WEB,1.0,227351.0,3,64,0
u_00295,21.0,F,WEB,0.0,592443.0,5,19,1
u_00296,31.0,M,WEB,4.0,595662.0,15,0,0
u_00297,24.0,M,MOBILE,1.0,446847.0,7,2,0
u_00298,44.0,F,MOBILE,0.0,2390.0,0,28,0
u_00299,22.0,M,MOBILE,0.0,655570.0,7,61,0
u_00300,50.0,F,AD,1.0,79906.0,1,50,1
u_00301,32.0,M,APP,0.0,4574.0,0,21,0
u_00302,53.0,M,WEB,2.0,1132245.0,10,53,1
u_00303,34.0,M,APP,0.0,86688.0,2,31,0
u_00304,47.0,F,REFERRAL,2.0,596479.0,9,20,0
u_00305,47.0,F,APP,1.0,708206.0,8,7,0
u_00306,40.0,M,APP,0.0,462480.0,5,56,1
u_00307,27.0,F,AD,0.0,1024323.0,8,29,0
u_00308,23.0,F,MOBILE,0.0,898964.0,15,41,0
u_00309,35.0,M,AD,0.0,680164.0,6,38,0
u_00310,29.0,F,WEB,2.0,693100.0,12,51,0
u_00311,40.0,F,MOBILE,0.0,463254.0,6,38,1
u_00312,33.0,M,MOBILE,2.0,839470.0,14,13,0
u_00313,37.0,F,MOBILE,4.0,1876676.0,17,5,0
u_00314,51.0,M,MOBILE,2.0,594379.0,6,0,0
u_00315,44.0,F,WEB,1.0,1191466.0,11,0,0
u_00316,29.0,M,APP,1.0,2355.0,0,18,0
u_00317,47.0,F,AD,1.0,271163.0,3,0,1
u_00318,20.0,F,AD,1.0,637732.0,7,60,1
u_00319,27.0,M,WEB,0.0,224563.0,3,0,0
u_00320,37.0,M,AD,0.0,393474.0,5,13,0
u_00321,55.0,M,WEB,1.0,1496067.0,24,60,0
u_00322,33.0,M,AD,0.0,545276.0,6,0,0
u_00323,29.0,M,REFERRAL,0.0,440896.0,4,49,0
u_00324,26.0,M,REFERRAL,2.0,722899.0,10,7,0
u_00325,20.0,M,REFERRAL,2.0,578591.0,9,32,0
u_00326,64.0,M,APP,0.0,1281.0,0,7,0
u_00327,45.0,F,APP,1.0,197069.0,2,29,0
u_00328,24.0,M,REFERRAL,3.0,690035.0,7,0,0
u_00329,36.0,F,APP,2.0,1539739.0,18,12,0
u_00330,29.0,M,WEB,0.0,644583.0,7,13,0
u_00331,39.0,M,APP,3.0,1108733.0,-1,0,0
u_00332,31.0,F,WEB,3.0,1072284.0,9,0,0
u_00333,62.0,M,MOBILE,0.0,1094851.0,10,6,0
u_00334,20.0,M,REFERRAL,4.0,694020.0,10,64,0
u_00335,20.0,F,AD,1.0,647295.0,8,139,1
u_00336,35.0,M,WEB,1.0,208147.0,4,69,0
u_00337,23.0,M,MOBILE,1.0,228416.0,2,0,1
u_00338,32.0,M,MOBILE,1.0,371925.0,6,108,0
u_00339,46.0,M,MOBILE,0.0,836898.0,7,25,0
u_00340,33.0,F,AD,4.0,1048778.0,14,5,0
u_00341,55.0,F,MOBILE,0.0,207679.0,4,27,0
u_00342,30.0,M,AD,3.0,1161397.0,14,31,0
u_00343,20.0,F,APP,0.0,906597.0,10,36,0
u_00344,56.0,M,WEB,1.0,1494775.0,19,29,0
u_00345,33.0,F,MOBILE,0.0,411977.0,4,9,0
u_00346,56.0,F,WEB,2.0,75000.0,5,0,1
u_00347,46.0,M,WEB,0.0,195750.0,2,69,1
u_00348,20.0,F,MOBILE,3.0,2012008.0,24,5,0
u_00349,20.0,F,MOBILE,1.0,469673.0,7,90,0
u_00350,25.0,F,MOBILE,1.0,258862.0,6,39,0
u_00351,23.0,F,MOBILE,2.0,783798.0,9,7,0
u_00352,43.0,F,REFERRAL,2.0,443398.0,6,0,0
u_00353,33.0,F,MOBILE,0.0,,8,120,1
u_00354,59.0,M,MOBILE,2.0,486999.0,8,26,0
u_00355,39.0,F,MOBILE,0.0,324964.0,4,20,0
u_00356,23.0,F,MOBILE,1.0,1022197.0,11,92,1
u_00357,40.0,F,REFERRAL,2.0,391556.0,5,0,0
u_00358,51.0,M,APP,0.0,120664.0,2,71,1
u_00359,34.0,M,REFERRAL,,582634.0,7,59,0
u_00360,35.0,F,MOBILE,1.0,324012.0,7,0,0
u_00361,45.0,M,WEB,2.0,858931.0,8,0,0
u_00362,25.0,F,MOBILE,2.0,187181.0,6,34,0
u_00363,32.0,M,WEB,1.0,520588.0,8,39,0
u_00364,38.0,M,APP,2.0,153508.0,5,40,0
u_00365,43.0,F,APP,3.0,1539986.0,15,19,0
u_00366,43.0,F,MOBILE,2.0,304843.0,7,20,0
u_00367,38.0,M,MOBILE,1.0,936013.0,11,91,0
u_00368,20.0,M,MOBILE,0.0,266309.0,6,29,1
u_00369,27.0,F,MOBILE,0.0,587922.0,7,4,0
u_00370,53.0,M,REFERRAL,0.0,1341788.0,15,53,0
u_00371,40.0,F,WEB,3.0,724514.0,12,86,0
u_00372,36.0,M,MOBILE,0.0,1227184.0,13,54,1
u_00373,54.0,M,WEB,1.0,646456.0,8,0,0
u_00374,47.0,M,MOBILE,2.0,381819.0,7,40,0
u_00375,35.0,M,APP,0.0,378.0,0,21,0
u_00376,35.0,F,AD,1.0,581449.0,10,0,0
u_00377,26.0,M,MOBILE,0.0,172597.0,5,100,1
u_00378,31.0,F,MOBILE,0.0,563518.0,9,49,1
u_00379,23.0,M,WEB,1.0,738639.0,9,106,1
u_00380,40.0,F,WEB,3.0,658830.0,12,0,0
u_00381,27.0,F,APP,1.0,287594.0,5,5,0
u_00382,21.0,M,WEB,2.0,615815.0,8,0,0
u_00383,20.0,M,MOBILE,0.0,231226.0,4,63,0
u_00384,42.0,M,MOBILE,0.0,3757.0,0,81,1
u_00385,64.0,F,AD,0.0,514077.0,8,37,0
u_00386,41.0,F,MOBILE,2.0,763467.0,18,71,0
u_00387,28.0,F,APP,2.0,1437839.0,14,8,0
u_00388,25.0,F,AD,0.0,281154.0,3,34,0
u_00389,26.0,F,REFERRAL,0.0,1620.0,0,4,1
u_00390,30.0,F,APP,2.0,2265400.0,18,30,0
u_00391,43.0,M,AD,0.0,700896.0,8,63,0
u_00392,33.0,M,MOBILE,2.0,416665.0,11,0,0
u_00393,,F,WEB,0.0,387315.0,7,0,0
u_00394,23.0,F,WEB,1.0,313879.0,7,25,0
u_00395,51.0,M,MOBILE,0.0,165937.0,5,12,0
u_00396,26.0,F,WEB,3.0,676911.0,12,122,0
u_00397,54.0,M,WEB,1.0,125236.0,5,30,1
u_00398,40.0,M,WEB,0.0,600266.0,6,81,0
u_00399,41.0,M,APP,3.0,504739.0,10,0,0
u_00400,45.0,F,MOBILE,1.0,345693.0,8,9,0
u_00401,23.0,F,WEB,0.0,264902.0,5,98,1
u_00402,60.0,M,REFERRAL,0.0,336334.0,3,0,0
u_00403,57.0,F,AD,1.0,871566.0,12,34,0
u_00404,61.0,F,MOBILE,0.0,173831.0,3,79,0
u_00405,23.0,F,MOBILE,4.0,1038947.0,12,0,0
u_00406,24.0,F,APP,0.0,220718.0,7,39,0
u_00407,24.0,M,APP,0.0,153206.0,3,33,0
u_00408,37.0,M,WEB,0.0,334082.0,3,34,0
u_00409,32.0,M,WEB,0.0,516073.0,7,15,0
u_00410,,M,WEB,0.0,252831.0,3,64,0
u_00411,31.0,M,APP,4.0,1165056.0,14,0,0
u_00412,23.0,M,WEB,2.0,466821.0,6,12,0
u_00413,46.0,M,WEB,1.0,1018641.0,12,109,0
u_00414,32.0,F,REFERRAL,1.0,664796.0,10,0,0
u_00415,24.0,M,WEB,5.0,1363379.0,24,0,0
u_00416,32.0,F,MOBILE,2.0,1337297.0,20,13,0
u_00417,27.0,F,MOBILE,0.0,1296.0,0,17,1
u_00418,37.0,M,WEB,0.0,1451.0,0,36,1
u_00419,35.0,F,WEB,0.0,105703.0,1,19,0
u_00420,30.0,F,WEB,0.0,691195.0,9,32,0
u_00421,31.0,F,WEB,3.0,1190875.0,15,61,0
u_00422,28.0,F,WEB,2.0,625713.0,9,0,0
u_00423,30.0,M,APP,3.0,1473288.0,12,21,0
u_00424,23.0,F,REFERRAL,1.0,464474.0,8,15,1
u_00425,22.0,M,AD,0.0,103833.0,4,58,0
u_00426,41.0,M,APP,1.0,443943.0,4,11,0
u_00427,33.0,F,WEB,0.0,773128.0,11,29,0
u_00428,43.0,F,REFERRAL,0.0,277.0,0,152,1
u_00429,36.0,F,APP,1.0,597831.0,7,51,0
u_00430,40.0,M,MOBILE,3.0,424246.0,13,0,0
u_00431,27.0,M,APP,2.0,868557.0,12,0,0
u_00432,36.0,F,WEB,1.0,171532.0,2,0,0
u_00433,43.0,M,WEB,0.0,702456.0,14,29,0
u_00434,33.0,M,WEB,2.0,637907.0,7,31,0
u_00435,45.0,M,REFERRAL,0.0,449971.0,4,143,1
u_00436,47.0,M,MOBILE,0.0,432423.0,5,38,0
u_00437,37.0,M,MOBILE,1.0,371947.0,6,47,0
u_00438,27.0,F,APP,1.0,424493.0,5,35,0
u_00439,25.0,F,APP,2.0,718177.0,10,0,0
u_00440,31.0,F,MOBILE,0.0,393453.0,4,27,1
u_00441,36.0,M,MOBILE,0.0,90902.0,2,47,0
u_00442,20.0,F,APP,1.0,1092503.0,10,8,0
u_00443,51.0,F,MOBILE,1.0,796709.0,9,69,0
u_00444,54.0,M,AD,0.0,773828.0,10,25,1
u_00445,39.0,M,MOBILE,0.0,143647.0,7,36,1
u_00446,49.0,M,REFERRAL,0.0,623.0,0,3,1
u_00447,28.0,M,MOBILE,0.0,345206.0,7,38,1
u_00448,41.0,M,APP,0.0,61372.0,1,39,1
u_00449,24.0,F,MOBILE,4.0,1297788.0,13,89,1
u_00450,20.0,F,REFERRAL,1.0,620275.0,8,15,0
u_00451,32.0,M,APP,0.0,749985.0,9,139,1
u_00452,39.0,F,REFERRAL,0.0,136868.0,9,20,0
u_00453,31.0,M,APP,1.0,781878.0,10,49,0
