product_id,product_name,category_id,brand,price,cost,stock,launch_date,status,rating_avg,review_count
25,롯데 빼빼로 Lite,33,롯데,4300,2469,361,24FEB2025,active,4.16,19
26,동서 현미녹차 100T Premium,37,동서,2900,2153,92,18AUG2023,active,3.96,27
27,Tefal 프라이팬 28cm Max,41,Tefal,7300,4417,320,17JAN2022,discontinued,4.11,18
28,맥 맥 립스틱 Mini,65,맥,18800,11182,323,03DEC2022,active,4.0,18
29,Corelle 접시 세트 Premium,42,Corelle,22500,14987,383,18MAR2022,active,4.04,28
30,Samsung 세탁기 Basic,24,Samsung,303100,220296,574,21JUN2026,active,4.46,13
31,LG 광파오븐 Basic,23,LG,403100,227448,345,14DEC2023,active,4.58,19
32,Nike 패딩 Mini,5,Nike,55200,37683,102,08NOV2023,active,3.79,14
33,해커스 영어 회화 100일 Basic,57,해커스,14500,8372,214,15FEB2023,active,3.8,20
34,카터스 맨투맨 Plus,11,카터스,53100,29650,191,10AUG2025,active,3.92,25
35,동원 동원 참치 Pro,32,동원,1600,899,193,25DEC2024,discontinued,3.85,27
36,Samsung 갤럭시 Lite,15,Samsung,408500,303048,379,21MAY2022,active,3.96,24
37,라네즈 워터 토너 Pro,61,라네즈,31100,17948,402,05DEC2025,active,4.04,27
38,농협 사과 5kg Premium,28,농협,4900,2745,599,10MAY2026,active,4.27,11
39,Uniqlo Blouse Lite,7,Uniqlo,15000,9760,10,05APR2026,active,4.14,22
40,녹차원 얼그레이,37,녹차원,11400,8482,186,06JUN2024,active,4.0,13
41,Logitech MX Master Lite,21,Logitech,264900,161682,14,26DEC2024,active,4.04,23
42,Apple iPhone Pro,15,Apple,540900,349959,296,17FEB2026,active,3.93,14
43,제주삼다수 500ml 20개입 Mini,38,제주삼다수,4900,2739,410,14FEB2024,active,4.18,22
44,ZARA Slim Chino Lite,4,ZARA,66300,43312,584,01SEP2025,active,4.28,18
45,한우자조금 한우 등심 1++,30,한우자조금,22700,15500,51,06MAY2025,active,4.31,16
46,한샘 유리컵 6개,42,한샘,6100,4155,27,12JAN2026,soldout,3.68,19
47,뉴발란스키즈 반팔티,11,뉴발란스키즈,24600,15410,576,20DEC2024,active,3.92,24
48,뉴발란스키즈 데님 Pro,12,뉴발란스키즈,40600,25276,16,05APR2025,active,3.65,26
49,교보문고 원씽 Lite,54,교보문고,10400,5975,350,23MAR2025,active,4.17,23
50,Razer DeathAdder Max,21,Razer,707300,448685,427,14APR2023,active,3.91,22
51,Samsung QLED TV Mini,25,Samsung,733800,420382,228,18MAR2022,active,3.92,25
52,길벗 집에서 만드는 파스타 Plus,55,길벗,20400,14816,209,25DEC2023,active,3.74,19
53,설화수 자정 안티에이징 Lite,62,설화수,34200,26410,430,03JAN2025,active,3.89,18
54,ZARA Knit,7,ZARA,82600,63859,293,19JAN2026,active,3.93,15
55,H&M Cargo Pants Max,4,H&M,18100,13556,581,28NOV2024,active,3.88,26
56,ZARA 플라워 원피스 Plus,9,ZARA,37700,25944,103,26APR2022,active,3.86,21
57,입생로랑 뷰티 넘버 원 Plus,65,입생로랑,19000,13512,203,19APR2022,soldout,4.0,22
58,H&M Cardigan Premium,7,H&M,61900,38105,52,26FEB2026,active,3.78,18
59,아모레퍼시픽 바디워시 Lite,44,아모레퍼시픽,4400,3058,374,05MAY2023,discontinued,3.96,27
60,풀무원 바나나 1송이 Pro,28,풀무원,4800,3143,53,07FEB2024,active,4.17,18
61,평창수 2L 6개입 Lite,38,평창수,6200,4097,275,25JUN2022,soldout,3.96,26
62,교보문고 모든 순간이 너였다 Max,52,교보문고,11100,8039,334,06AUG2023,active,3.73,15
63,Samsung 갤럭시탭 Plus,16,Samsung,303800,186788,30,11JUN2025,active,4.31,16
64,위즈덤하우스 캠핑 요리 Lite,55,위즈덤하우스,16400,10219,134,03JUN2023,active,4.0,14
65,Roccat Kone Pro,21,Roccat,784700,598465,57,31MAR2024,active,4.25,20
66,3M 테이프 클리너 Premium,47,3M,7100,3996,104,28MAR2024,active,4.09,22
67,Cuchen 밥솥 Lite,23,Cuchen,264300,174886,265,03JAN2026,active,3.89,27
68,아디다스키즈 레깅스 Mini,12,아디다스키즈,71300,54184,521,26AUG2023,soldout,4.05,22
69,Corsair K95 Premium,21,Corsair,375500,259239,495,06NOV2024,active,3.83,18
70,Ottogi 햄 캔 Pro,34,Ottogi,2800,1891,252,27FEB2026,active,4.0,19
71,라네즈 수분 로션 Max,62,라네즈,46000,27942,294,20FEB2026,active,4.0,22
72,풀무원 풀무원 두부 Plus,32,풀무원,3400,2138,157,25JUN2026,active,3.75,20
73,LG 건조기 Lite,24,LG,819500,611323,548,15FEB2023,active,4.37,27
74,CJ 샤인머스캣 2kg Pro,28,CJ,3000,2035,66,28JUL2023,active,3.95,20
75,Nescafe 골드 블렌드 Premium,36,Nescafe,4300,2874,298,29JAN2026,active,4.05,20
76,아이시스 500ml 40개입 Mini,38,아이시스,9500,5442,462,29OCT2022,active,4.2,15
77,Tetley 캐모마일 Pro,37,Tetley,4100,2270,100,02JUN2022,discontinued,4.26,23
78,헤라 블랙 쿠션 Basic,64,헤라,46700,36035,55,15DEC2024,active,4.15,26
79,Dove 치약 3개입,44,Dove,12800,8149,331,01JUL2023,soldout,4.0,24
80,Cuckoo 전기포트 Mini,23,Cuckoo,1452800,1000600,392,20FEB2023,active,4.12,25
81,Nike Tech Tee Premium,3,Nike,93000,52855,380,06MAR2022,active,4.0,16
82,Twinings 잉글리시 브렉퍼스트 Max,37,Twinings,1900,1343,91,29SEP2024,active,3.81,26
83,아디다스키즈 후드 티 Plus,11,아디다스키즈,49600,37918,446,04AUG2024,active,3.92,25
84,LG Velvet Premium,15,LG,271000,184931,108,28FEB2022,active,3.8,20
85,Illy 에스프레소 원두,36,Illy,5600,3242,316,21AUG2023,active,4.27,15
86,Adidas Trefoil Hoodie Max,3,Adidas,37800,25847,167,20MAY2026,active,3.89,28
87,나이키키즈 반바지 Lite,12,나이키키즈,19200,13944,434,18MAR2022,active,4.0,15
88,맥심 모카 골드 Pro,36,맥심,10300,6627,441,04OCT2025,discontinued,3.38,24
89,Garmin Venu Basic,17,Garmin,499800,376030,217,25JUN2025,active,3.75,16
90,LG OLED TV Mini,25,LG,372900,260730,221,19JUN2026,active,3.88,26
91,컬럼비아키즈 트레이닝 팬츠 Mini,12,컬럼비아키즈,27900,21115,527,12DEC2025,active,3.4,10
92,한빛미디어 데일 카네기 인간관계론 Pro,54,한빛미디어,17200,11926,277,10AUG2024,active,4.44,9
93,길벗 지적 대화를 위한 넓고 얕은 지식 Basic,54,길벗,19200,11139,568,26APR2022,active,3.88,17
94,민음사 무진기행 Pro,51,민음사,15500,9629,573,12JUN2022,active,3.86,22
95,Uniqlo A라인 스커트 Lite,8,Uniqlo,15000,8946,465,23AUG2025,active,3.67,15
96,샤넬 루쥬 코코,65,샤넬,30000,22770,583,09APR2022,active,3.94,17
97,헤라 레조나 토너 Max,61,헤라,12500,9061,29,10AUG2023,active,4.11,27
98,입생로랑 뚜쉬 에끌라 Premium,64,입생로랑,26200,18485,358,11APR2024,active,4.0,20
99,광주요 도자기 밥공기 Mini,42,광주요,5700,3529,287,13OCT2022,active,4.35,20
100,나이키키즈 카라 티 Lite,11,나이키키즈,15500,9181,85,17AUG2022,active,4.18,17
101,Xiaomi Redmi Max,15,Xiaomi,928200,672001,233,20FEB2025,active,4.04,23
102,카터스 조거팬츠 Lite,12,카터스,29900,19705,312,04AUG2023,active,3.81,21
103,LG gram Basic,19,LG,348700,209893,364,27SEP2023,active,4.18,17
104,문학동네 언어의 온도 Mini,52,문학동네,19700,13628,268,20JAN2023,active,4.0,16
105,문학동네 데미안 Premium,51,문학동네,14000,7829,130,30SEP2024,active,3.94,17
106,CJ 스팸 Pro,34,CJ,21400,13375,350,25OCT2023,active,4.16,19
107,카누 미니 Pro,36,카누,4000,2631,179,01JUN2022,active,3.74,19
108,시원스쿨 TOEIC 실전 Max,57,시원스쿨,18800,10979,479,24DEC2023,active,4.19,16
109,위즈덤하우스 아주 작은 습관의 힘 Premium,54,위즈덤하우스,24000,18635,162,12APR2025,active,4.0,26
110,SKII 피테라 에센스,62,SKII,77700,46471,95,05AUG2022,active,4.0,21
111,해태 홈런볼 Plus,33,해태,2900,1681,509,09SEP2023,active,4.0,17
112,Fissler 압력솥 Basic,41,Fissler,10300,6147,364,05DEC2025,active,3.85,20
113,YES24 역행자 Max,54,YES24,27100,19698,352,23MAR2023,active,4.1,20
114,Uniqlo AIRism Shirt Plus,3,Uniqlo,59000,38224,435,05AUG2022,active,3.95,19
115,교보문고 원씽 Lite,54,교보문고,25000,17001,82,03DEC2025,active,3.84,19
116,길벗 HSK 5급 Basic,57,길벗,9400,5215,224,29MAY2026,active,3.67,18
117,HyperX Cloud II Lite,21,HyperX,1119900,624813,411,16OCT2024,active,3.67,27
118,Adidas 바람막이,5,Adidas,22900,14943,117,25AUG2025,active,4.29,21
119,ZARA Basic Tee Premium,3,ZARA,40700,30029,481,02SEP2022,active,4.25,16
120,ZARA Culotte Mini,8,ZARA,33200,25019,191,29JAN2025,active,4.31,16
121,에비앙 750ml Basic,38,에비앙,2600,1481,590,27SEP2022,active,3.93,28
122,SteelSeries Arctis Plus,21,SteelSeries,189500,127689,589,12FEB2022,active,3.77,22
123,에스티로더 어드밴스드 토너,61,에스티로더,10400,7904,106,22DEC2022,active,3.8,20
124,락앤락 냄비 세트 Mini,41,락앤락,14300,9141,381,20APR2022,active,4.0,16
125,Google Pixel Pro,15,Google,177100,131195,389,28DEC2022,active,4.35,17
126,Philips 에어프라이어 Plus,23,Philips,224000,130088,243,12JUN2023,active,3.95,21
127,Nespresso 커피머신 Max,23,Nespresso,388100,296951,584,24APR2025,active,3.81,21
128,Volvic 1.5L 12개입 Pro,38,Volvic,1500,1084,467,21JAN2025,active,3.83,6
129,디올 어딕트,65,디올,47400,36332,537,15OCT2024,active,4.0,27
130,HP Omen Pro,20,HP,104100,73455,209,16AUG2024,active,4.48,21
131,LG생활건강 샤프란 리필 Max,48,LG생활건강,12700,8046,72,28APR2023,active,4.24,17
132,이니스프리 그린티 토너 Basic,61,이니스프리,30000,22973,308,18JAN2024,active,3.68,22
133,애경 스파크 세탁 세제 Pro,48,애경,18400,11286,589,22MAY2022,active,4.14,21
134,MUJI Basic Tee Premium,7,MUJI,35400,22174,185,22APR2023,active,3.93,15
135,코사홀리 이불 세트 Plus,45,코사홀리,44800,31861,252,10MAR2024,active,4.21,19
136,한빛미디어 JLPT N2 Mini,57,한빛미디어,17700,12850,12,24AUG2022,active,4.06,18
137,샘표 옥수수 Pro,34,샘표,10200,7790,298,19SEP2023,active,3.83,18
138,설화수 자정 토너 Plus,61,설화수,19200,11464,75,15SEP2025,active,4.25,12
139,Delonghi 토스터 Lite,23,Delonghi,475600,348871,50,19OCT2022,active,4.18,22
140,Nivea 핸드워시 Plus,44,Nivea,33800,24331,148,17SEP2023,active,3.79,19
141,문학동네 홈베이킹 기초 Mini,55,문학동네,14800,8357,121,05JUL2026,active,4.2,15
142,Dell XPS Tower Plus,20,Dell,496500,317293,210,17JUL2025,active,4.4,15
143,피죤 섬유유연제 Max,48,피죤,24000,14760,279,26FEB2026,active,3.88,24
144,컬럼비아키즈 체크 셔츠,11,컬럼비아키즈,23200,14384,537,16OCT2024,active,4.1,21
145,농심 새우깡 Mini,33,농심,1500,1164,155,28SEP2022,soldout,4.12,17
146,MUJI 수저 세트,42,MUJI,15500,10816,237,15APR2026,active,4.11,19
147,MUJI Jogger Basic,4,MUJI,65700,46979,375,30MAR2022,discontinued,4.17,23
148,나스 오르가즘 블러셔,65,나스,13200,10225,81,09OCT2023,active,4.06,18
149,H&M 롱 원피스 Lite,9,H&M,54200,34512,491,04JUL2022,active,4.29,21
150,IKEA 샐러드볼 Max,42,IKEA,20000,14688,355,04FEB2025,active,3.95,19
151,Corelle 접시 세트 Basic,42,Corelle,3400,2209,272,13FEB2023,active,4.24,17
152,농협하나로 삼겹살 1kg Plus,30,농협하나로,2500,1874,579,01SEP2025,active,3.91,22
153,무인양품 샤워 타월 Mini,45,무인양품,10500,6211,43,16OCT2025,active,4.17,24
154,Fitbit Charge Lite,17,Fitbit,397200,305036,572,30OCT2025,active,3.95,21
155,한샘 유리컵 6개 Max,42,한샘,8500,5102,122,28AUG2024,active,4.19,16
156,오설록 제주 녹차 Basic,37,오설록,2800,1750,348,25NOV2024,active,4.17,24
157,라네즈 워터 토너 Basic,61,라네즈,81000,58637,329,23JUN2024,active,4.21,19
158,창비 82년생 김지영 Lite,51,창비,15600,9992,408,07AUG2024,active,3.91,22
159,H&M Slim Polo Premium,3,H&M,23900,16488,322,01DEC2023,active,3.74,23
160,Cuchen 전기밥솥 Plus,41,Cuchen,13000,8479,110,09APR2024,active,4.05,20
161,ASUS ROG Lite,20,ASUS,610600,440086,88,09NOV2022,active,4.0,15
162,에스티로더 더블 웨어 Basic,64,에스티로더,30600,18436,432,20FEB2023,active,4.23,22
163,Columbia 트렌치코트 Pro,5,Columbia,32000,18030,98,07SEP2025,active,4.0,23
164,헤라 레조나 토너 Max,61,헤라,20100,12441,538,19AUG2025,active,3.76,21
165,스톤헨지 슬립 드레스 Lite,9,스톤헨지,24400,16081,145,23OCT2025,active,4.1,20
166,뉴발란스키즈 데님 Premium,12,뉴발란스키즈,25300,14892,256,12FEB2024,active,3.92,24
167,Neoflam 실리콘 뒤집개 Basic,41,Neoflam,16300,10295,188,24APR2022,active,3.8,20
168,Samsung 갤럭시 Plus,15,Samsung,243600,156390,239,04JUN2026,discontinued,4.37,19
169,문법의 원리 토익 스피킹,57,문법의 원리,19000,10700,502,02MAY2026,soldout,4.09,22
170,YES24 아몬드 Basic,51,YES24,28700,19635,270,22OCT2022,active,3.77,30
171,맥 맥 립스틱 Plus,65,맥,36100,27197,519,27MAR2026,active,4.36,22
172,Starbucks 비아 콜롬비아 Lite,36,Starbucks,3700,2164,549,28JAN2026,active,3.91,22
173,Samsung 전자레인지 Plus,23,Samsung,203000,139561,113,19JUL2024,active,3.73,11
174,Downy 주방 세제 Mini,48,Downy,34400,24179,338,11JUL2024,active,3.88,17
175,Tide 표백제 Mini,48,Tide,6600,4266,567,26JAN2025,active,4.05,22
176,Nescafe 골드 블렌드 Mini,36,Nescafe,8900,6330,358,11JUL2024,active,4.11,18
177,메이크업포에버 HD 파운데이션 Premium,64,메이크업포에버,43600,28098,333,21JUN2025,active,3.8,15
178,Apple MacBook Premium,19,Apple,383800,255636,168,20JAN2022,active,3.71,17
179,에스티로더 어드밴스드 토너 Pro,61,에스티로더,25300,13957,338,10JUL2024,active,3.95,19
180,Levi's 501 Jeans Premium,4,Levi's,15000,10636,260,11DEC2023,active,4.12,24
181,MLB 플리스,5,MLB,44200,31033,198,13FEB2022,discontinued,3.75,12
182,해커스 영어 회화 100일 Lite,57,해커스,20900,11679,210,15OCT2022,active,3.52,25
183,Sony BRAVIA Basic,25,Sony,230100,146043,286,20MAY2025,active,4.2,20
184,Uniqlo EZY Ankle Basic,4,Uniqlo,33000,25580,471,29AUG2025,active,3.61,18
185,ZARA Slim Chino Pro,4,ZARA,37100,23995,481,19JAN2024,active,4.25,16
186,광주요 도자기 밥공기 Premium,42,광주요,18900,12576,22,04APR2022,active,3.95,21
187,롯데 골뱅이,34,롯데,4900,3720,559,14MAR2024,soldout,3.88,24
188,시원스쿨 TOEIC 실전 Plus,57,시원스쿨,8500,6077,108,05OCT2025,active,3.94,17
189,LG생활건강 샤프란 리필 Pro,48,LG생활건강,9700,6633,295,17APR2026,active,4.07,14
190,교보문고 한강 소년이 온다,51,교보문고,17800,13056,5,03OCT2023,active,3.95,20
191,MUJI Tech Tee Plus,3,MUJI,60100,45003,549,20DEC2023,active,4.32,19
192,풀무원 양파망 1.8kg,29,풀무원,3100,2030,202,26OCT2025,discontinued,4.47,17
193,H&M Cargo Pants Plus,4,H&M,134900,88936,324,05MAY2025,active,3.9,21
194,제주삼다수 500ml 20개입 Max,38,제주삼다수,1500,958,243,17MAR2025,active,4.17,24
195,애경 스파크 세탁 세제,48,애경,9500,7337,326,31JUL2023,active,4.0,20
196,MIXXO 니트 원피스 Basic,9,MIXXO,34500,24507,46,22SEP2022,active,4.09,22
197,피죤 섬유유연제 Mini,48,피죤,11800,6715,590,14AUG2023,active,4.11,18
198,MIXXO Turtleneck Premium,7,MIXXO,17300,12948,12,26APR2022,active,4.32,19
199,Xiaomi Mi Band Plus,17,Xiaomi,578800,382314,379,12MAR2025,active,3.96,24
200,TCL C815 Max,25,TCL,552700,312725,364,20AUG2025,soldout,4.1,20
201,에듀윌 컴활 1급,58,에듀윌,16600,11228,341,07JAN2022,active,3.96,27
202,Illy 에스프레소 원두 Basic,36,Illy,6100,3940,220,22MAY2023,discontinued,3.73,26
203,MUJI Wide Pants Mini,8,MUJI,28100,21127,72,15AUG2025,active,3.95,22
204,창비 나는 나로 살기로 했다 Plus,52,창비,8500,5073,45,16SEP2024,active,4.45,20
205,DEW E DEW 셔츠 원피스,9,DEW E DEW,23600,17466,503,23AUG2025,active,3.93,15
206,CJ 포스틱,33,CJ,5400,3662,273,11NOV2025,active,4.17,18
207,Samsung 갤럭시워치 Plus,17,Samsung,487700,274360,554,27DEC2023,active,4.0,21
208,Dyson 냉장고 Pro,24,Dyson,453500,350793,207,14AUG2022,active,3.64,14
209,민음사 무진기행 Pro,51,민음사,20300,13558,123,27AUG2024,active,3.37,19
210,Apple iPhone Basic,15,Apple,312100,192535,9,26OCT2023,active,3.59,17
211,ZARA 플라워 원피스 Mini,9,ZARA,36900,24278,328,11OCT2023,active,3.93,14
212,Winia 공기청정기 Plus,24,Winia,623500,465946,186,09JAN2026,discontinued,3.85,13
213,메디안 스킨 로션 Basic,44,메디안,12600,7813,542,02AUG2023,discontinued,3.47,15
214,The North Face 후디 자켓 Basic,5,The North Face,17200,10222,59,04APR2024,active,4.11,18
215,CJ 제일제당 닭가슴살 2kg Lite,30,CJ 제일제당,2500,1449,441,04JUN2025,active,3.82,11
216,YES24 와인 입문,55,YES24,22700,14040,216,02JAN2026,active,3.65,20
217,CJ 상추 200g Premium,29,CJ,13000,9482,1,20APR2026,active,4.19,21
218,평창수 2L 6개입,38,평창수,11100,7309,535,16MAR2023,active,4.3,30
219,Nike 패딩 Pro,5,Nike,41700,25116,355,31JUL2022,active,4.0,29
220,이마트 오이 5개 Mini,29,이마트,2100,1235,164,26MAY2025,active,4.28,18
221,풀무원 양념갈비,30,풀무원,4800,3007,90,01AUG2024,active,3.92,24
222,Downy 주방 세제 Plus,48,Downy,34100,26126,166,02MAY2024,active,3.85,20
223,카터스 맨투맨 Basic,11,카터스,52600,33079,206,01FEB2024,active,3.83,18
224,나스 리퀴드 라이트닝 Plus,64,나스,26200,20364,281,12NOV2022,active,3.81,21
225,문학동네 데미안 Lite,51,문학동네,20900,13827,64,18MAR2024,discontinued,3.72,18
226,Estee Lauder 리페어 크림 Mini,62,Estee Lauder,13800,8158,515,11OCT2024,active,4.28,25
227,이니스프리 그린티 토너 Basic,61,이니스프리,19500,14721,156,26JUN2026,active,4.08,25
228,이마트 딸기 500g Plus,28,이마트,2300,1508,305,22JUL2024,active,4.15,20
229,이니스프리 수분 크림 Pro,62,이니스프리,39400,28101,394,07OCT2024,active,4.09,11
230,Nike Trefoil Hoodie Premium,3,Nike,55700,43237,73,09SEP2023,soldout,4.36,25
231,Apple Apple Watch Lite,17,Apple,403400,226525,186,31AUG2022,active,4.11,18
232,MUJI 수저 세트 Mini,42,MUJI,7900,4520,573,29APR2023,active,3.8,20
233,동서 현미녹차 100T Lite,37,동서,4800,3435,336,23MAR2025,active,3.44,16
234,동원 참치캔 Pro,34,동원,3400,2090,567,21MAR2025,active,4.37,19
235,Scotch-Brite 수세미 Mini,47,Scotch-Brite,8200,4857,239,11SEP2023,active,3.63,19
236,IKEA 얼굴 수건 Lite,45,IKEA,16300,9112,532,19JUN2024,active,3.76,17
237,입생로랑 뷰티 넘버 원 Max,65,입생로랑,18800,10434,140,21JUL2023,active,4.06,36
238,한빛미디어 데일 카네기 인간관계론 Pro,54,한빛미디어,8700,6334,264,24MAR2023,active,4.0,21
239,뉴발란스키즈 반팔티 Pro,11,뉴발란스키즈,16200,9410,138,20DEC2023,discontinued,4.06,17
240,Midea 무선청소기 Pro,24,Midea,169000,111130,458,21FEB2022,active,3.61,31
241,아이시스 500ml 40개입 Max,38,아이시스,5800,3998,69,28FEB2025,active,4.0,22
242,MUJI Jogger Max,4,MUJI,39700,25746,384,12SEP2022,active,4.14,14
243,Adidas AIRism Shirt Plus,3,Adidas,38500,21415,197,06FEB2022,active,4.0,19
244,Lenovo ThinkPad Basic,19,Lenovo,629400,459591,204,30SEP2022,discontinued,3.86,28
245,H&M 슬랙스 Premium,8,H&M,74200,40989,567,18SEP2023,active,3.95,20
246,길벗 HSK 5급 Lite,57,길벗,12800,9283,430,06JUN2025,active,4.15,13
247,Tide 표백제 Plus,48,Tide,17000,12842,324,17NOV2024,active,3.96,25
248,LG Velvet Lite,15,LG,171400,111333,441,19APR2022,active,4.07,15
249,헤라 블랙 쿠션 Premium,64,헤라,67900,45708,287,10MAY2024,active,3.79,19
250,길벗 지적 대화를 위한 넓고 얕은 지식 Basic,54,길벗,9900,6531,225,17MAR2024,active,4.09,22
251,GS Fresh 당근 1kg Max,29,GS Fresh,2900,1854,63,18OCT2025,active,4.43,21
252,Samsung 세탁기 Basic,24,Samsung,309000,233019,559,13JAN2024,active,4.41,32
253,Adidas 바람막이 Max,5,Adidas,15000,11334,497,11DEC2023,active,3.9,10
254,이마트 소불고기 Premium,30,이마트,5000,3136,59,16JAN2022,active,4.28,18
255,맥심 모카 골드 Basic,36,맥심,5700,3941,396,14JUN2025,active,4.1,20
256,창비 82년생 김지영 Plus,51,창비,15100,11524,256,09FEB2022,active,4.42,26
257,카누 미니 Mini,36,카누,1600,1234,576,20APR2022,active,3.8,25
258,Garmin Venu Plus,17,Garmin,1454200,970039,238,08SEP2022,active,3.71,14
259,아디다스키즈 레깅스 Lite,12,아디다스키즈,50400,32969,37,27OCT2025,active,4.53,30
260,교보문고 백종원의 육아 레시피 Plus,55,교보문고,46800,28739,24,17MAY2026,active,4.39,18
261,아이패스 한국사능력검정 Premium,58,아이패스,11800,9092,409,19SEP2025,active,4.06,16
262,설화수 자정 안티에이징 Pro,62,설화수,52800,30774,460,21FEB2024,active,4.05,22
263,한우자조금 한우 등심 1++ Lite,30,한우자조금,8400,5740,570,26APR2024,active,4.06,17
264,위즈덤하우스 아주 작은 습관의 힘 Basic,54,위즈덤하우스,14500,8917,416,15JUN2023,active,4.27,15
265,녹차원 얼그레이 Lite,37,녹차원,13100,8045,356,30OCT2024,active,3.97,31
266,YES24 역행자 Mini,54,YES24,13800,8875,382,29NOV2024,active,4.17,23
267,Tetley 캐모마일 Max,37,Tetley,3800,2962,157,21JUN2022,active,4.0,20
268,LG생활건강 샴푸 700ml Basic,44,LG생활건강,3000,1687,568,04OCT2025,active,4.27,26
269,GS Fresh 수박 1통,28,GS Fresh,6500,4439,432,07AUG2023,active,3.46,26
270,농협 사과 5kg Lite,28,농협,1900,1081,47,15OCT2024,active,4.05,22
271,Levi's 501 Jeans Basic,4,Levi's,26000,15224,327,22JAN2022,active,3.6,25
272,교보문고 원씽 Basic,54,교보문고,10800,7031,432,26JAN2025,active,4.41,17
273,LG 건조기 Basic,24,LG,355100,236995,430,26MAY2024,active,3.85,20
274,입생로랑 뚜쉬 에끌라 Max,64,입생로랑,38800,23649,55,12DEC2022,active,3.93,14
275,길벗 집에서 만드는 파스타,55,길벗,16300,10151,576,15JAN2023,active,4.04,25
276,YES24 아몬드 Premium,51,YES24,21600,12312,267,31MAR2022,active,3.95,19
277,Uniqlo Blouse Plus,7,Uniqlo,77600,48091,68,04JAN2022,active,4.18,17
278,교보문고 한강 소년이 온다 Basic,51,교보문고,14000,10812,448,16APR2026,discontinued,3.48,23
279,Logitech MX Master Pro,21,Logitech,331900,254661,256,02FEB2025,active,4.43,14
280,Pulmuone 햇반 Premium,32,Pulmuone,9600,6019,489,29OCT2024,active,4.24,21
281,농협하나로 삼겹살 1kg Mini,30,농협하나로,10100,6881,48,16DEC2024,active,4.23,26
282,나이키키즈 반바지 Max,12,나이키키즈,56600,42971,315,13APR2024,active,4.16,25
283,아디다스키즈 후드 티 Lite,11,아디다스키즈,20500,11304,412,19OCT2024,active,4.17,18
284,Columbia 트렌치코트 Max,5,Columbia,46700,34392,433,13MAY2026,active,3.77,26
285,Hisense ULED Lite,25,Hisense,472400,362862,1,13APR2024,active,3.65,17
286,민음사 무진기행 Max,51,민음사,24800,14160,144,28DEC2023,active,3.95,20
287,ASUS ZenBook Lite,19,ASUS,313700,184183,365,12JAN2024,active,3.95,19
288,오리온 초코파이 Basic,33,오리온,1500,1156,419,28MAR2023,active,4.31,16
289,롯데 빼빼로 Plus,33,롯데,7900,5321,572,18APR2025,active,4.0,22
290,더타올 목욕 수건 Lite,45,더타올,3000,1659,560,05OCT2024,active,4.0,24
291,시대에듀 ADsP,58,시대에듀,12100,7371,443,22OCT2023,active,4.17,23
292,한국산업인력공단 SQLD Lite,58,한국산업인력공단,10800,7057,433,08JUL2022,active,4.35,20
293,컬럼비아키즈 트레이닝 팬츠 Pro,12,컬럼비아키즈,19500,13832,554,06DEC2022,active,4.09,22
